Personnel_ID,Unit,Age,Experience_Years,Training_Type,Training_Score,Mission_Success_Rate,Fatigue_Level,Attendance_Rate
P1000,Delta,26,15,Tactics,81.48,92.85,7,82.67
P1001,Charlie,40,2,Tech,73.76,73.5,2,90.94
P1002,Charlie,31,17,Tech,50.61,79.05,3,91.14
P1003,Charlie,37,4,Tactics,74.65,71.43,10,95.32
P1004,Echo,26,12,Tech,69.66,69.92,1,96.58
P1005,Delta,37,12,Leadership,62.79,81.08,8,91.37
P1006,Alpha,32,18,Tech,98.41,86.06,9,92.75
P1007,Delta,43,1,Tactics,57.37,78.73,3,97.1
P1008,Delta,26,9,Tech,59.92,86.49,7,81.15
P1009,alphaa,24,15,Combat,63.04,84.59,10,96.36
P1010,Charlie,29,13,Tactics,76.5,68.3,1,90.73
P1011,Echo,23,13,Tech,55.12,66.82,6,86.59
P1012,Delta,31,12,Tactics,84.63,,10,87.38
P1013,Bravo,32,9,Tech,66.38,56.95,9,85.95
P1014,Alpha,41,9,Tehc,68.37,67.8,10,74.65
P1015,Delta,41,5,Tech,74.73,88.56,2,78.59
P1016,Alpha,42,11,Tactics,61.78,59.98,6,100.0
P1017,Bravo,25,16,Tactics,,71.49,4,85.97
P1018,Delta,39,9,Combat,65.81,93.25,2,93.86
P1019,Bravo,26,16,Combat,84.26,73.41,1,100.0
P1020,Echo,42,9,Tactics,84.65,54.03,3,87.72
P1021,Alpha,27,3,Combat,,78.5,9,88.68
P1022,Alpha,35,9,Leadership,61.7,69.62,8,97.71
P1023,Charlie,42,14,Tactics,79.13,74.74,3,90.47
P1024,Echo,34,1,Tactics,,57.14,3,100.0
P1025,Echo,25,3,Tactics,78.97,79.09,3,74.45
P1026,Bravo,20,3,Combat,77.14,51.31,6,95.04
P1027,Echo,29,2,Tactics,92.63,83.24,9,86.41
P1028,Alpha,22,18,Combat,80.15,100.0,4,100.0
P1029,alphaa,21,19,Tehc,84.88,100.0,6,75.06
P1030,Charlie,41,11,Tech,75.64,53.83,5,99.68
P1031,alphaa,35,13,Tactics,73.49,68.39,3,86.11
P1032,Bravo,42,9,Combat,71.32,72.36,10,86.2
P1033,Delta,35,7,Tactics,,58.19,7,100.0
P1034,Delta,33,5,Leadership,72.19,60.94,4,95.59
P1035,Delta,41,5,Tech,81.0,65.13,10,94.2
P1036,Charlie,23,16,Tech,76.99,61.0,1,92.75
P1037,Delta,38,11,Tech,84.26,67.72,1,94.71
P1038,Bravo,33,2,Tehc,76.1,63.55,7,88.34
P1039,Bravo,23,18,Tactics,70.07,83.49,4,92.46
P1040,Charlie,43,3,Tech,74.79,71.76,2,93.94
P1041,Alpha,42,3,Tactics,59.73,89.58,6,90.17
P1042,Echo,38,12,Tactics,78.92,68.13,4,100.0
P1043,Delta,23,16,Leadership,85.65,59.51,10,89.93
P1044,Echo,31,9,Leadership,81.14,90.37,6,91.96
P1045,Alpha,24,6,Tactics,69.93,87.32,7,86.18
P1046,Delta,31,7,Tactics,83.58,67.6,7,77.31
P1047,Bravo,28,7,Leadership,70.78,77.79,9,100.0
P1048,Echo,25,12,Combat,75.46,75.84,5,88.66
P1049,Alpha,34,1,Tactics,,88.01,7,100.0
P1050,Charlie,31,8,Tactics,79.63,54.39,8,98.26
P1051,Echo,36,9,Tactics,56.9,84.26,3,85.38
